layer_index,block,count,frequency,mean_position,high_count,low_count,mean_hist_iou,min_hist_iou,max_hist_iou,std_hist_iou,mean_ap,mean_auc,samples
17,transformer_blocks_17_attn,11,0.36666666666666664,13.181818181818182,11,0,0.44619238502793623,0.057594516913552954,0.7836117936117936,0.23870696731831498,0.8979128197843003,0.9960986339248685,crack_000 crack_004 cut_000 hole_000 hole_001 hole_002 hole_003 hole_004 print_001 print_003 print_005
34,single_transformer_blocks_15_attn,9,0.3,10.555555555555555,9,0,0.36109692388455206,0.14802564044072358,0.8621418636995828,0.20875939087998785,0.7913845224710776,0.9857133944321431,cut_000 cut_002 cut_003 cut_005 cut_006 hole_002 hole_005 hole_006 print_006
4,transformer_blocks_4_attn,7,0.23333333333333334,5.0,0,7,0.6222395240871809,0.08858786104030168,0.9677856383811955,0.279041800097393,0.6991608094752904,0.9537710702745674,crack_000 crack_001 crack_007 cut_013 hole_001 print_001 print_004
9,transformer_blocks_9_attn,7,0.23333333333333334,7.428571428571429,7,0,0.40037397477154846,0.19105457676988769,0.7341338854382332,0.20333522650830846,0.5270068411271406,0.9392527400586305,crack_002 crack_005 cut_003 print_000 print_001 print_002 print_004
37,single_transformer_blocks_18_attn,6,0.2,11.166666666666666,6,0,0.5457954157203466,0.34860382522563615,0.68058850310306,0.1318989166343173,0.8754499208607598,0.9959608779809007,crack_004 cut_005 cut_006 hole_000 hole_005 print_003
53,single_transformer_blocks_34_attn,5,0.16666666666666666,4.2,0,5,0.3585493746908806,0.1933640606598136,0.5157756072484256,0.13502141129515097,0.6975536703080732,0.9654797608924822,crack_001 crack_002 crack_005 cut_003 print_004
48,single_transformer_blocks_29_attn,5,0.16666666666666666,6.4,0,5,0.3356914330001751,0.1542073955543187,0.5411062797047225,0.16557608177564578,0.6934252418107102,0.9649601836798158,crack_001 crack_002 crack_005 cut_003 print_004
10,transformer_blocks_10_attn,5,0.16666666666666666,9.6,5,0,0.42430082052857865,0.15940842398014218,0.7119497190337959,0.21865926597022314,0.6139958443858358,0.952069931471266,crack_002 crack_005 print_000 print_001 print_002
25,single_transformer_blocks_6_attn,5,0.16666666666666666,10.2,5,0,0.5873553405477278,0.11050708047852546,0.9376506157839287,0.3142630342482249,0.8110448274758483,0.931510324093449,crack_002 crack_006 crack_007 hole_006 print_006
6,transformer_blocks_6_attn,5,0.16666666666666666,11.8,3,2,0.388618259581512,0.1107377958861,0.9384752771088417,0.3080858029592145,0.4213083632551637,0.8591384286441588,crack_001 crack_002 crack_005 crack_007 cut_003
7,transformer_blocks_7_attn,4,0.13333333333333333,5.75,2,2,0.4765120824738992,0.13217155908975553,0.9530185636666113,0.3239382619735034,0.45984740041916616,0.873769570760516,crack_001 crack_002 crack_005 crack_007
22,single_transformer_blocks_3_attn,4,0.13333333333333333,11.0,4,0,0.697215220817153,0.3396992741099205,0.939000582392073,0.22621401803747854,0.9525800521498919,0.9621017744916438,crack_006 crack_007 hole_006 print_006
27,single_transformer_blocks_8_attn,4,0.13333333333333333,13.75,4,0,0.1954663717922382,0.12174484052532833,0.2908545727136432,0.06156902252627877,0.26716367112408823,0.9339915447223884,crack_005 cut_002 cut_003 hole_006
54,single_transformer_blocks_35_attn,3,0.1,5.0,1,2,0.5991619990333065,0.4641339231503166,0.7777667919056094,0.13169558784964083,0.7371440694204083,0.9387167866996123,crack_001 print_001 print_004
8,transformer_blocks_8_attn,3,0.1,5.333333333333333,3,0,0.22311197355530155,0.18641890424838967,0.281163380831544,0.041523189596201,0.26390138345343006,0.9418994714367187,crack_002 crack_005 cut_003
5,transformer_blocks_5_attn,3,0.1,6.0,0,3,0.6304803725610229,0.326734601155319,0.9626095022158095,0.26036952422636306,0.7585488378667326,0.9364128398199384,crack_001 crack_007 print_004
3,transformer_blocks_3_attn,3,0.1,9.333333333333334,1,2,0.5540127032219003,0.17218679731036207,0.9407349032820962,0.31377755185319595,0.6149986231920369,0.9429479340119215,crack_001 crack_005 crack_007
2,transformer_blocks_2_attn,3,0.1,12.333333333333334,0,3,0.5958876528145715,0.32645300361979906,0.9340478548381944,0.25276507804085513,0.7753634338975645,0.9525239620380782,crack_001 crack_007 print_004
12,transformer_blocks_12_attn,3,0.1,13.666666666666666,3,0,0.3438360082605951,0.1068295739348371,0.5496548061603823,0.182122757269707,0.6634634642040526,0.9754101421205958,crack_002 print_002 print_005
40,single_transformer_blocks_21_attn,3,0.1,14.0,3,0,0.4257316973389725,0.3481892677768966,0.5643765215039221,0.09826616622948882,0.6950740403120689,0.9877422282118138,cut_005 hole_005 print_002
0,transformer_blocks_0_attn,2,0.06666666666666667,5.0,0,2,0.7671897748895727,0.5842148803970922,0.9501646693820532,0.1829748944924805,0.7257429220281555,0.9342446797214865,crack_001 crack_007
49,single_transformer_blocks_30_attn,2,0.06666666666666667,6.5,0,2,0.5135746628976008,0.4922043876190038,0.5349449381761978,0.021370275278597,0.644523759276893,0.926176440518679,crack_001 print_004
55,single_transformer_blocks_36_attn,2,0.06666666666666667,8.5,0,2,0.4784196702976125,0.41580127831148794,0.5410380622837371,0.06261839198612457,0.613870709596049,0.9181948533705718,crack_001 print_004
11,transformer_blocks_11_attn,2,0.06666666666666667,9.5,2,0,0.262768129012256,0.12736927242676793,0.398166985597744,0.13539885658548803,0.4940731965754529,0.9282550714660445,crack_002 print_002
47,single_transformer_blocks_28_attn,2,0.06666666666666667,10.0,0,2,0.4884256686520441,0.4549718707044369,0.5218794665996513,0.03345379794760722,0.632223253174454,0.924285753025093,crack_001 print_004
51,single_transformer_blocks_32_attn,2,0.06666666666666667,10.0,0,2,0.3280440777089324,0.18444048824193343,0.4716476671759314,0.14360358946699897,0.9029779968011454,0.9913259584775013,crack_005 print_004
1,transformer_blocks_1_attn,1,0.03333333333333333,2.0,1,0,0.31972487242067893,0.31972487242067893,0.31972487242067893,0.0,0.7002689870502615,0.9838048921698893,crack_005
23,single_transformer_blocks_4_attn,1,0.03333333333333333,3.0,1,0,0.8653236128888642,0.8653236128888642,0.8653236128888642,0.0,0.9812709914029186,0.9079172822387257,print_006
56,single_transformer_blocks_37_attn,1,0.03333333333333333,3.0,0,1,0.9592639168343393,0.9592639168343393,0.9592639168343393,0.0,0.9984551374554858,0.9974446862011267,crack_007
52,single_transformer_blocks_33_attn,1,0.03333333333333333,6.0,0,1,0.4784228407939441,0.4784228407939441,0.4784228407939441,0.0,0.8015243239587638,0.9785094188786195,print_004
50,single_transformer_blocks_31_attn,1,0.03333333333333333,11.0,0,1,0.4079024266293991,0.4079024266293991,0.4079024266293991,0.0,0.813963764361188,0.9754080993616536,print_004
15,transformer_blocks_15_attn,1,0.03333333333333333,12.0,1,0,0.621767309516282,0.621767309516282,0.621767309516282,0.0,0.7490783498944823,0.9677815125294058,print_000
16,transformer_blocks_16_attn,1,0.03333333333333333,12.0,0,1,0.8357318357318357,0.8357318357318357,0.8357318357318357,0.0,0.7892189142795842,0.3184124148478344,print_006
24,single_transformer_blocks_5_attn,1,0.03333333333333333,13.0,1,0,0.8357139092394456,0.8357139092394456,0.8357139092394456,0.0,0.9411190851697575,0.7630551845581918,print_006
30,single_transformer_blocks_11_attn,1,0.03333333333333333,14.0,1,0,0.10993107581660173,0.10993107581660173,0.10993107581660173,0.0,0.1299369563703679,0.8197835741665926,crack_002
